39536	
	(1.506904677e-44,1.397526859e-44)	(4.520484484e-44,3.475282294e-44)	(-4.935138594e-45,-1.967474803e-44)	(-7.845531023e-13,-7.686414458e-13)	(6.11528531e-45,-8.251724107e-45)
	(4.254896389e-44,5.414338777e-44)	(2.410442816e-45,2.491123606e-44)	(6.828963687e-14,-1.958836428e-13)	(-4.736846407e-13,-1.359648004e-13)	(-7.036006995e-13,-4.028538787e-13)
	(1.813475432e-13,-3.3613741e-15)	(-1.236562955e-13,-2.398627967e-13)	(-1.292088503e-13,2.896299206e-13)	(-3.594872656e-13,4.757756015e-13)	(-3.395539387e-13,-4.522518392e-13)
	(-2.954042453e-13,2.856386467e-13)	(-4.967198499e-13,-1.158340335e-13)	(2.177492038e-15,-2.517131056e-13)	(6.705655163e-13,-1.507309502e-12)	(6.718554711e-14,-4.017941907e-13)
	(-1.697170082e-13,6.554215925e-14)	(4.089670269e-13,-9.644633232e-13)	(-7.160023464e-13,-1.876030397e-13)	(-4.097449159e-14,-4.560378152e-13)	(7.573946548e-14,-9.742698186e-13)
	(1.104593504e-12,-9.526116836e-13)	(-1.280384543e-13,-4.331077313e-13)	(-1.02650344e-14,4.208228237e-13)	(5.950323702e-13,2.008046953e-13)	(-4.855629965e-14,-6.591805038e-13)
	(-1.893341639e-13,-3.393124128e-13)	(1.263662645e-14,-4.037478422e-14)	(9.889706237e-13,-1.185084006e-13)	(-3.758008852e-13,-4.081822535e-13)	(-5.255914147e-13,5.710655435e-14)
	(4.732743066e-13,-9.52888626e-13)	(-8.656007315e-14,-1.46763074e-13)	(-2.623037894e-13,4.258058317e-13)	(-3.59388517e-13,-5.964068222e-13)	(-8.833291322e-45,-5.907393462e-45)
	(-5.157773649e-13,4.422866451e-13)	(-1.033585529e-13,-1.138005778e-12)	(7.51752854e-45,1.113535268e-44)	(-1.00375593e-12,7.665503046e-13)	(-6.297210011e-13,-1.092096098e-12)
	(9.871707899e-14,1.026519579e-13)	(2.076195376e-13,-2.175863566e-13)	(-2.827691095e-13,9.204625208e-13)	(1.072402699e-14,-5.399592553e-13)	(-2.476590513e-13,3.50942669e-13)
	(-1.506903122e-13,7.679525255e-13)	(-8.139280879e-13,5.360416171e-13)	(6.518295124e-13,3.061327674e-13)	(-3.803377203e-13,2.125169893e-13)	(-6.251915357e-13,-2.972039699e-13)
	(-6.953649981e-13,2.190859348e-13)	(-1.77797356e-14,5.862693057e-13)	(-5.138607318e-14,4.509564416e-13)	(-4.472270458e-13,3.936765926e-13)	(1.009201196e-45,-1.252692888e-44)
	(-1.336740428e-44,-1.351338626e-45)	(1.046687905e-44,-1.515399292e-44)	(3.929273249e-13,2.253791783e-13)	(-5.158620607e-13,-2.236161481e-13)	(3.393025485e-13,-1.548414518e-14)
	(5.025865378e-13,-3.985837815e-13)	(-8.955279451e-45,4.932827804e-45)	(-5.399348123e-44,-7.581005123e-44)	(-2.909314388e-44,1.125908906e-44)	(-4.685576046e-13,-3.90119988e-14)
	(7.197425042e-14,1.55493505e-13)	(-3.926661274e-13,-9.994181621e-15)	(-1.148155773e-12,2.255111586e-13)	(5.603240661e-13,1.852442408e-13)	(-1.494560674e-13,4.545553485e-13)
	(-4.071835403e-13,-8.308413209e-13)	(3.121585666e-13,1.148240129e-12)	(-7.439338781e-13,1.970253808e-13)	(2.875099716e-13,-4.368537882e-13)	(2.334192988e-13,1.836768376e-13)
	(-3.196051521e-13,4.616576143e-13)	(7.771302342e-13,1.719967558e-13)	(-5.70056522e-13,-3.960419741e-13)	(-1.513791907e-13,1.182045345e-13)	(-5.737605882e-13,-6.984464865e-13)
	(-5.947246642e-13,-8.913475348e-14)	(-7.615819539e-13,4.84134591e-13)	(-1.695577736e-13,2.255510724e-13)	(-8.025910018e-13,5.430665236e-13)	(3.250776021e-14,-4.039451828e-13)
	(-3.0463596e-13,-5.671517237e-14)	(3.404957645e-13,6.955487211e-13)	(-2.513432945e-14,-3.504580956e-13)	(5.653294672e-13,8.159550307e-13)	(-1.300301179e-13,3.194344243e-13)
	(7.921586083e-13,9.353546472e-13)	(-8.902372311e-14,7.415562134e-13)	(-4.735586912e-13,5.939353364e-13)	(-8.680505869e-45,-1.284752833e-45)	(2.25417742e-13,4.961696373e-13)
	(-2.153891245e-13,2.404314007e-13)	(1.924339941e-44,1.578474657e-44)	(-5.846311093e-13,-2.757482498e-13)	(-7.787466144e-13,-6.641409562e-13)	(1.701313921e-13,-2.427168425e-13)
	(2.471588677e-13,-7.020493508e-14)	(1.728832537e-15,-5.602501595e-13)	(-7.517645937e-13,-7.793557317e-13)	(-5.183158111e-13,1.178843659e-13)	(-3.50437032e-13,-5.753581849e-15)
	(-2.337059065e-13,-4.698739208e-13)	(4.31255383e-13,-9.847725728e-14)	(-7.531644253e-14,-5.382477734e-13)	(-2.454752039e-13,5.628886057e-13)	(7.780104376e-13,-3.531912982e-13)
	(1.583312107e-13,2.564783032e-13)	(6.676656912e-13,-4.703018223e-14)	(6.641178412e-13,6.902630212e-14)	(-1.803765422e-44,-6.843591436e-45)	(-4.554025913e-44,-6.752407803e-44)
	(-4.962818012e-45,6.078857628e-45)	(1.051037147e-12,1.117688192e-12)	(-5.870530888e-13,-3.781653534e-13)	(-3.505740966e-14,1.742336179e-13)	(2.761477996e-13,7.770684676e-13)
	(-9.605709343e-13,-1.367314593e-13)	(5.309769126e-13,-3.993572421e-13)	(-5.06399694e-13,1.317323454e-12)	(-7.688551448e-14,2.7905914e-13)	(-2.484354257e-13,-6.681478862e-14)
	(2.936983711e-13,-1.171721027e-13)	(-7.686259888e-13,1.380497614e-12)	(-4.167584038e-13,7.954134204e-13)	(1.406157172e-13,-1.945802756e-13)	(-3.338967367e-13,4.671232389e-13)
	(4.542077741e-13,7.890850383e-13)	(-3.51351866e-13,-4.482419687e-13)	(4.7093715e-13,5.776424525e-13)	(-1.012011022e-12,2.720444705e-13)	(1.875568336e-44,-1.287967491e-44)
	(1.108536197e-12,-7.616337621e-13)	(1.132595851e-12,6.80429613e-13)	(1.790699562e-14,5.687873202e-13)	(9.34184006e-13,8.265981022e-14)	(2.33473131e-13,-7.073603891e-13)
	(1.750316747e-13,8.897114578e-15)	(-1.044177065e-12,-5.464826116e-13)	(6.142946594e-13,-1.924318005e-13)	(-8.034487542e-13,-6.632698085e-13)	(7.68265103e-13,-4.021052244e-13)
	(3.216649027e-14,5.840936514e-13)	(1.561376543e-13,-1.214209319e-12)	(-7.558427624e-14,-5.74392877e-13)	(-5.892410111e-13,-8.976365268e-13)	(-2.601097822e-13,-6.824319256e-14)
	(1.031671749e-13,-1.715162971e-13)	(3.20874356e-13,-8.712076579e-14)	(-4.717920841e-13,-4.529266754e-13)	(1.496327485e-12,6.341735767e-13)	(1.260177519e-13,5.521812124e-13)
	(-1.423267484e-13,-1.762557033e-13)	(1.858939187e-14,1.123804116e-12)	(-6.582615971e-14,5.876440661e-13)	(-8.350002844e-14,-4.229271233e-13)	(7.873868931e-13,1.576739258e-12)
	(2.389530762e-13,-1.756474802e-13)	(1.519459492e-13,3.60051879e-13)	(2.196763687e-13,9.393851991e-13)	(-1.979278513e-44,1.129990024e-44)	(8.290197138e-13,-9.063756209e-13)
