39536	
	(-1.179088653e-13,8.821505714e-14)	(-6.965296084e-14,-3.244531965e-13)	(-3.940531576e-13,-9.244519992e-13)	(-4.784991451e-14,5.036541389e-13)	(-3.932069967e-13,-3.462111326e-14)
	(6.337321729e-13,-4.907725289e-13)	(-9.03346239e-13,4.72035173e-13)	(-3.010522127e-13,-5.703315398e-13)	(4.288338402e-13,1.62007508e-13)	(-1.059235152e-13,2.354154249e-13)
	(-4.531326042e-13,-1.670871751e-13)	(1.153241556e-15,6.850731945e-13)	(2.308830758e-13,-5.531591899e-13)	(-1.250380213e-13,-1.032382132e-13)	(4.874408111e-13,-6.05544872e-13)
	(-3.186131898e-14,-5.157260388e-13)	(-5.448090285e-13,-5.471801916e-13)	(-2.087077494e-13,-8.544166071e-14)	(-6.038424108e-13,-5.709963236e-13)	(3.521031934e-13,-5.011680225e-14)
	(-3.11782247e-15,-2.613970707e-13)	(-5.124107262e-13,4.369540247e-13)	(2.99120649e-13,-8.826176852e-14)	(-5.744503348e-13,6.259211565e-13)	(-2.816331869e-13,-3.154838937e-14)
	(-6.482366401e-13,8.363205442e-13)	(-6.331938964e-13,5.808681085e-14)	(-5.807023125e-13,-2.91948886e-13)	(-4.180206827e-46,-7.492365152e-45)	(-3.762946097e-13,2.732403458e-13)
	(-2.345411187e-13,-1.407507213e-13)	(-9.848416001e-45,1.896605846e-44)	(1.261597181e-13,-5.508663935e-13)	(4.245884862e-13,-7.649625742e-13)	(2.361421842e-13,9.770648519e-14)
	(9.638049988e-14,1.92069012e-13)	(4.686989204e-13,-1.016996177e-13)	(5.159380218e-13,-7.751154532e-13)	(-1.884326366e-13,-4.131482304e-13)	(-5.97637912e-14,-2.970341797e-13)
	(3.499252696e-13,-2.727797167e-13)	(1.537032853e-13,3.400528218e-13)	(4.335909507e-13,-1.660425302e-13)	(-5.197797907e-13,-1.038691902e-13)	(4.412939186e-13,5.867762799e-13)
	(-1.938170486e-13,1.798573755e-13)	(1.58021733e-13,5.395611822e-13)	(7.030754254e-14,5.638649123e-13)	(2.383637596e-45,-1.632305869e-44)	(4.808932819e-44,-5.06094694e-44)
	(-6.033233805e-45,-3.009640782e-45)	(-7.412258144e-13,1.085853734e-12)	(2.191712111e-13,-5.622335604e-13)	(-1.51895323e-13,2.272217948e-15)	(-5.87515106e-13,3.781039254e-13)
	(-4.24451197e-14,-8.231558919e-13)	(4.301108975e-13,3.646816739e-13)	(-1.186180434e-12,-1.688297222e-13)	(-2.487477379e-13,-1.379255094e-14)	(1.954655856e-14,-2.206075186e-13)
	(1.528703455e-13,2.19781829e-13)	(-1.279647266e-12,-3.804361781e-13)	(-7.281785002e-13,-2.144515103e-13)	(1.894617792e-13,8.345443131e-14)	(-4.341191731e-13,-1.943624335e-13)
	(-5.758098144e-13,5.276772343e-13)	(3.20507199e-13,-3.793281723e-13)	(-3.95983719e-13,4.974715627e-13)	(-4.066668545e-13,-7.823519916e-13)	(1.402927111e-44,1.334541667e-44)
	(8.364406379e-13,7.783204845e-13)	(-3.503182449e-13,1.076269516e-12)	(-4.741774879e-13,1.19464746e-13)	(8.571827499e-14,8.025123631e-13)	(6.25588769e-13,6.332301018e-14)
	(1.855965221e-14,1.386501342e-13)	(2.61532716e-13,-9.717643863e-13)	(2.742665137e-13,4.785859022e-13)	(4.18466445e-13,-7.84186548e-13)	(4.801274106e-13,5.678977428e-13)
	(-4.991961708e-13,1.410385299e-13)	(1.035906543e-12,-8.487943692e-14)	(4.615211259e-13,-1.737165136e-13)	(6.479679083e-13,-6.592265257e-13)	(6.670895662e-15,-2.303778253e-13)
	(1.785825557e-13,6.044558414e-14)	(1.413886398e-13,2.38333965e-13)	(2.919799223e-13,-4.799094454e-13)	(-2.383473675e-13,1.366173297e-12)	(-4.309322357e-13,1.982370271e-13)
	(1.236436385e-13,-1.512595956e-13)	(-9.300953213e-13,2.135363555e-13)	(-4.862150719e-13,5.149863656e-14)	(3.340308648e-13,-1.500762244e-13)	(-1.160138705e-12,9.436638843e-13)
	(2.099148574e-13,1.634467456e-13)	(-2.778321972e-13,1.884353014e-13)	(-7.33638316e-13,3.535137513e-13)	(-1.303918434e-44,-1.451412208e-44)	(9.038447734e-13,5.277289198e-13)
	(-4.196680511e-13,1.413250905e-12)	(-1.403066932e-44,-8.112454609e-45)	(5.778763754e-44,-9.624622524e-44)	(5.996088014e-45,-7.032561213e-45)	(1.765977653e-44,-1.692338999e-44)
	(1.899704444e-44,-1.676847409e-44)	(2.231938674e-44,-7.24224255e-45)	(-4.13683069e-13,7.296509846e-13)	(2.282714397e-13,-3.263242526e-13)	(2.557221184e-14,2.169869812e-13)
	(-3.296426129e-13,-2.457680152e-13)	(-5.331014883e-13,-2.499743455e-14)	(1.306934137e-13,3.399928422e-13)	(-8.298536432e-13,-9.133863885e-14)	(-3.465508964e-13,6.675201018e-13)
	(6.854052267e-13,-4.386822679e-13)	(-9.802989873e-13,9.621787688e-13)	(-8.254249447e-13,4.537555473e-13)	(5.840693302e-13,-3.034694482e-13)	(1.318416867e-13,-4.296279389e-13)
	(4.735423035e-13,-4.90158955e-13)	(3.33843485e-44,7.33011158e-46)	(1.218704874e-12,-3.164132643e-13)	(1.146380948e-12,1.661365744e-12)	(-4.653977829e-13,2.767779053e-13)
	(2.914200474e-13,-1.053822728e-12)	(3.733294624e-13,-5.560339078e-14)	(-8.981107197e-14,-4.613075884e-14)	(3.58946696e-14,-2.631480161e-13)	(-1.870919808e-13,-1.913711521e-13)
	(5.021917012e-13,-1.631477118e-14)	(-6.620368682e-13,-9.99905707e-13)	(-5.411423508e-15,2.943026155e-13)	(2.37480581e-13,5.881725167e-13)	(-2.977186044e-13,1.253348411e-12)
	(-1.221510399e-12,-5.950620361e-13)	(7.680985885e-13,-2.771646164e-14)	(1.73610307e-13,1.406907398e-13)	(2.40201904e-13,-4.318486505e-13)	(2.432604602e-13,1.7106845e-13)
	(1.156074463e-13,-3.278391362e-13)	(1.91251958e-13,1.329675412e-13)	(2.318235681e-13,3.859365137e-13)	(7.893045188e-13,1.127861119e-14)	(-2.531388624e-44,1.293855109e-44)
	(2.385372822e-13,-8.099486026e-14)	(2.554496598e-13,7.532174684e-13)	(9.428221694e-46,3.511605442e-44)	(8.084505508e-44,-9.524106677e-44)	(-7.931519805e-45,3.361182741e-44)
	(-2.999154463e-44,7.449471199e-45)	(9.120937552e-44,-1.161844294e-43)	(1.69546677e-44,-6.568612695e-45)	(5.722034241e-13,2.284439294e-13)	(-9.887563594e-14,-4.375367413e-14)
	(7.792503872e-13,7.435794513e-14)	(1.66955877e-44,1.553610752e-44)	(4.198689649e-44,-5.240953874e-44)	(-2.517140371e-44,1.849783146e-45)	(-8.067070876e-13,1.045382106e-12)
	(7.419179751e-14,4.038509323e-13)	(-2.653249754e-13,-7.973157846e-14)	(9.523601502e-13,2.417693233e-13)	(4.119917688e-13,1.55186937e-13)	(-4.191497218e-14,-4.161179645e-13)
	(3.361688406e-14,4.736720825e-13)	(5.039259823e-13,-3.985351175e-14)	(-1.836220668e-13,-1.693647437e-13)	(2.995973969e-13,1.627493342e-13)	(4.826402958e-13,4.794487697e-13)
	(2.031517815e-13,-4.518136693e-13)	(-2.126571075e-13,-4.089245524e-13)	(-3.078970014e-13,-5.166288635e-13)	(6.270513117e-13,-8.569090299e-15)	(-5.318113384e-13,-1.600912254e-13)
	(1.227077545e-14,9.88318856e-14)	(-1.449749396e-44,4.633874842e-45)	(-9.189916665e-13,-9.171232429e-14)	(-3.296503859e-13,-5.831479851e-13)	(-8.097056993e-13,-9.895432977e-13)
	(8.691264295e-14,-3.236578301e-13)	(3.644865386e-13,3.406708252e-13)	(4.826362143e-13,-1.346332283e-13)	(-6.58230742e-13,-6.591328627e-13)	(-5.515237935e-14,4.894548014e-14)
	(-1.255402465e-12,-3.900915003e-13)	(-4.685860599e-13,-4.200729651e-13)	(6.32505503e-13,2.089091048e-14)	(4.732988717e-44,-2.627378415e-44)	(2.144167305e-13,-9.266501686e-13)
	(3.744139995e-13,-2.10200815e-13)	(8.831663245e-14,-2.367893923e-13)	(-1.70084047e-13,7.983460398e-14)	(-8.459013082e-13,-6.146842136e-13)	(-3.631966219e-13,-6.945912567e-14)
	(-1.218182236e-13,-4.2541783e-13)	(-9.960459496e-45,-1.833321664e-44)	(9.155665523e-45,-5.947146896e-44)	(-1.836044324e-45,4.7358669e-45)	(-5.004139018e-13,1.160759522e-12)
	(-2.411997714e-44,-5.267607861e-45)	(3.180430135e-44,-1.054022461e-43)	(7.528728304e-45,-5.683379374e-45)	(5.403897218e-13,9.20350069e-14)	(-2.030988426e-13,3.620677898e-13)
	(6.748369912e-13,3.181179778e-14)	(3.532526406e-13,2.960702104e-13)	(-1.258738583e-13,-3.746061136e-13)	(6.603251701e-13,-7.588129706e-13)	(1.330613239e-13,6.79811045e-13)
	(3.948399614e-13,2.737390058e-14)	(-5.259633207e-13,-4.369340564e-13)	(6.215312942e-13,-1.153916287e-13)	(2.543602763e-13,-7.945895668e-13)	(-5.854989752e-13,2.413161256e-13)
	(1.129650437e-12,-5.767898141e-13)	(-1.736728755e-13,-3.095808294e-13)	(-3.362760925e-13,2.418888324e-14)	(7.97099796e-13,-2.296981582e-13)	(5.778140331e-13,-5.272225355e-13)
	(4.34974209e-14,4.279521662e-13)	(8.752170763e-13,-7.365376042e-13)	(1.072408626e-13,-5.549223353e-13)	(-2.009735784e-13,4.845268064e-13)	(-1.552814594e-13,4.869722055e-13)
	(8.748287022e-13,-4.550501948e-13)	(-9.882238834e-13,-4.315440759e-13)	(-3.726587457e-14,-2.76413881e-13)	(4.184012351e-13,-1.681878255e-13)	(-8.912514573e-13,-3.284999423e-13)
