39536	
	(1.003187195e-12,1.644086209e-14)	(8.603173474e-13,9.026033494e-13)	(2.354147232e-13,-8.943125188e-13)	(3.524610018e-13,4.37427807e-13)	(-2.319680691e-13,8.585661332e-13)
	(4.357555883e-13,8.281528948e-13)	(7.42064971e-13,-1.16361101e-13)	(5.797037477e-13,-4.082028591e-14)	(5.982439694e-13,4.743999065e-13)	(-1.604988845e-44,1.649958244e-45)
	(1.276149242e-45,1.718716445e-44)	(-2.160610141e-44,-9.721652403e-45)	(1.947136577e-13,-5.477423922e-13)	(-1.628664079e-13,7.010962928e-13)	(-9.755439784e-14,-4.248396123e-13)
	(-6.147896985e-13,-5.421473528e-13)	(8.254786181e-45,1.012980718e-44)	(-8.324792084e-44,8.570113902e-44)	(2.093672135e-44,3.413614493e-44)	(5.991298467e-14,5.985577039e-13)
	(1.790302758e-13,-1.274143978e-13)	(7.454211839e-14,5.035031694e-13)	(5.552177391e-13,1.393240865e-12)	(1.074089925e-13,-7.504066348e-13)	(6.208511702e-13,8.727515015e-14)
	(-9.442144399e-13,7.076847691e-13)	(1.377927137e-12,-6.608749259e-13)	(4.234093855e-13,9.061392996e-13)	(-6.0997328e-13,-2.614557808e-13)	(1.822123568e-13,-3.327248659e-13)
	(6.521511019e-13,3.092418739e-13)	(3.895826901e-14,-1.019086355e-12)	(-3.649656367e-13,8.088859934e-13)	(1.859261319e-13,1.649388241e-13)	(-7.421325281e-13,8.881609704e-13)
	(2.741518893e-14,7.702545489e-13)	(7.885930957e-13,8.504222534e-13)	(3.342435811e-13,1.7263928e-13)	(8.706863866e-13,8.883790776e-13)	(-5.117029592e-13,4.960223419e-14)
	(3.648002482e-15,4.006776752e-13)	(8.068761107e-13,-5.732634718e-13)	(-4.288095448e-13,1.099383882e-13)	(9.031547287e-13,-9.0141137e-13)	(4.427920742e-13,1.035616354e-13)
	(9.890510105e-13,-1.215177897e-12)	(9.599270512e-13,-6.278609743e-14)	(8.621729658e-13,4.564180551e-13)	(4.737085961e-46,1.126069318e-44)	(5.71984289e-13,-4.044027521e-13)
	(3.578334077e-13,2.121198501e-13)	(1.532756894e-44,-2.798520549e-44)	(-2.11160522e-13,7.933413511e-13)	(-6.477714025e-13,1.143830171e-12)	(-3.446473711e-13,-1.587111899e-13)
	(-1.521649428e-13,-2.966124142e-13)	(-7.081062501e-13,1.276308765e-13)	(-8.082875055e-13,1.128045335e-12)	(2.734373244e-13,6.258559845e-13)	(7.392221562e-14,4.417088671e-13)
	(-5.38407779e-13,4.115931224e-13)	(-2.308803846e-13,-5.231089624e-13)	(-6.647053904e-13,2.170481243e-13)	(7.651102895e-13,1.78502086e-13)	(-6.24362384e-13,-9.003083004e-13)
