39536	
	(-8.536145132e-13,-3.859088895e-13)	(-1.80125768e-13,-5.296299123e-13)	(1.314935927e-13,-5.578660195e-13)	(6.34254234e-45,-1.880561062e-45)	(-3.101651609e-13,-2.671614534e-13)
	(7.394032689e-14,-2.281356159e-13)	(-1.831721821e-44,-4.562621256e-45)	(5.033752317e-13,-6.074169314e-15)	(7.417648447e-13,2.099010773e-13)	(-3.439760726e-14,2.236164259e-13)
	(-1.44275649e-13,1.195043139e-13)	(1.850436425e-13,3.805720284e-13)	(7.738686666e-13,2.813010615e-13)	(3.157431147e-13,-2.456246764e-13)	(2.433422874e-13,-1.135491587e-13)
	(3.03399007e-13,2.434918346e-13)	(-2.587973627e-13,1.994193251e-13)	(2.342865659e-13,3.357430444e-13)	(-1.858417465e-14,-4.690768947e-13)	(-4.112743365e-13,5.020293236e-13)
	(-1.949964464e-13,-1.321478837e-13)	(-4.257232361e-13,2.458331147e-13)	(-4.666018139e-13,1.800654301e-13)	(1.448291704e-44,-1.369469562e-45)	(5.347003289e-44,3.066396109e-44)
	(1.311001835e-45,-5.815310768e-45)	(-1.086220051e-12,-4.088016e-13)	(5.291842188e-13,7.499878859e-14)	(-3.346925264e-14,-1.296924496e-13)	(-4.479462843e-13,-4.198459766e-13)
	(6.958001328e-13,-1.997032063e-13)	(-2.206766869e-13,4.437635251e-13)	(-1.07434466e-13,-1.048200231e-12)	(-3.984306175e-14,-2.167271617e-13)	(1.938824908e-13,-2.541251017e-14)
	(-1.548140096e-13,1.769536895e-13)	(5.632442561e-14,-1.169557043e-12)	(3.770459465e-14,-6.642249042e-13)	(-3.267966779e-14,1.80300781e-13)	(7.717385522e-14,-4.055275716e-13)
	(-5.736419726e-13,-3.832011158e-13)	(3.938494071e-13,1.997028981e-13)	(-5.0813146e-13,-2.356958983e-13)	(5.807409866e-13,-5.084644121e-13)	(-8.538803814e-45,1.47397583e-44)
	(-4.894899076e-13,8.773118071e-13)	(-9.96837161e-13,-7.124205801e-14)	(-2.014667883e-13,-3.823800204e-13)	(-6.734546476e-13,2.343392829e-13)	(7.652326708e-14,5.458580183e-13)
