96240	
	(3557112.723,0)	(3204861.879,0)	(3559960.215,0)	(3207426.671,0)	(3562311.383,0)
	(3209544.405,0)	(3565641.47,0)	(3212543.878,0)	(3603115.005,0)	(3246297.297,0)
	(3602731.782,0)	(3245952.141,0)	(3596821.869,0)	(3240628.888,0)	(3571903.375,0)
	(3218184.124,0)	(3576072.983,0)	(3221939.792,0)	(3590761.537,0)	(3235170.175,0)
	(3585461.357,0)	(3230396.147,0)	(3580991.9,0)	(3226370.383,0)	(3568728.519,0)
	(3215324.449,0)	(3590716.757,0)	(3235129.823,0)	(3609158.31,0)	(3251740.704,0)
	(3616543.741,0)	(3258393.027,0)	(3630372.469,0)	(3270849.084,0)	(3622618.678,0)
	(3263864.948,0)	(3663755.4,0)	(3300918.54,0)	(3646701.553,0)	(3285557.368,0)
	(3655914.207,0)	(3293855.616,0)	(3638772.133,0)	(3278414.958,0)	(3631299.497,0)
	(3271684.057,0)	(5527186.509,0)	(4979663.562,0)	(5558664.117,0)	(5008033.925,0)
	(5500130.154,0)	(4955285.995,0)	(3674059.276,0)	(3310199.685,0)	(3665115.631,0)
	(3302143.717,0)	(3751835.936,0)	(3380257.559,0)	(3788037.359,0)	(3412866.772,0)
	(3801167.633,0)	(3424694.177,0)	(3763850.892,0)	(3391080.223,0)	(3777448.472,0)
	(3403328.505,0)	(3674755.254,0)	(3310826.506,0)	(3694340.929,0)	(3328468.409,0)
	(3704366.09,0)	(3337498.61,0)	(3716070.755,0)	(3348041.67,0)	(3739007.962,0)
	(3368702.578,0)	(3727795.731,0)	(3358603.041,0)	(3684635.008,0)	(3319725.705,0)
	(5226206.34,0)	(4708486.08,0)	(5271366.643,0)	(4749174.261,0)	(5208870.557,0)
	(4692866.803,0)	(5347764.486,0)	(4818007.044,0)	(5300577.214,0)	(4775491.846,0)
	(5427764.904,0)	(4890085.976,0)	(5463934.211,0)	(4922673.261,0)	(5396166.464,0)
	(4861616.455,0)	(5367319.402,0)	(4835624.511,0)	(5162097.422,0)	(4650725.659,0)
	(5082433.428,0)	(4578951.785,0)	(5125650.978,0)	(4617888.888,0)	(3815720.13,0)
