70578	
	(29.2854587,0)	(3.407922303,0)	(0,-18.54356731)	(21.67377517,0)	(3564.61785,0)
	(4.518156669,0)	(0,-19.3820585)	(23.30641177,0)	(5.526685382,0)	(0,-23.05703134)
	(27.32286062,0)	(3.794806198,0)	(0,-20.47941835)	(23.73804018,0)	(6.286496684,0)
	(0,-20.54003872)	(25.41119762,0)	(3375.046903,0)	(4.171701022,0)	(0,-22.33317073)
	(25.70454019,0)	(3095.971339,0)	(5.452450581,0)	(0,-25.67226013)	(29.64777114,0)
	(3.488581805,0)	(0,-21.60644981)	(24.48032752,0)	(5.823648313,0)	(0,-24.82784606)
	(29.12569014,0)	(10.06641629,0)	(0,-28.68716694)	(34.59541981,0)	(21.05799778,0)
	(0,-32.51433298)	(38.30026322,0)	(15.6098598,0)	(0,-31.68760681)	(38.35650949,0)
	(16.84317675,0)	(0,-35.52009705)	(42.28302061,0)	(12.76245253,0)	(0,-30.07690307)
	(36.5528726,0)	(2274.029654,0)	(13.58769244,0)	(0,-33.05517787)	(39.58791044,0)
	(22.57308116,0)	(0,-37.41719092)	(43.44452373,0)	(19.80999322,0)	(0,-37.2362084)
	(43.8509328,0)	(18.85884944,0)	(0,-33.52927376)	(40.00898972,0)	(1398.388789,0)
	(26.87430728,0)	(0,-31.49476966)	(33.41976158,0)	(33.47267214,0)	(0,-34.53766993)
	(18.25395083,0)	(31.86372557,0)	(0,-32.00199143)	(18.13329692,0)	(-4208.951653,0)
	(31.42334085,0)	(0,-30.98983094)	(19.95776372,0)	(35.01381139,0)	(0,-35.89305505)
	(21.85568384,0)	(29.54767451,0)	(0,-31.70872535)	(30.21725634,0)	(-1825.439145,0)
	(34.49569291,0)	(0,-35.07440556)	(23.90609761,0)	(30.34799294,0)	(0,-30.7365648)
	(26.19001475,0)	(34.84072338,0)	(0,-36.1175999)	(28.00441119,0)	(32.09084527,0)
	(0,-35.9327264)	(34.29239508,0)	(34.38289959,0)	(0,-36.78834368)	(31.60107203,0)
	(30.72219926,0)	(0,-30.17929903)	(22.30795517,0)	(-3245.068871,0)	(24.95704862,0)
	(0,-36.66498183)	(41.6297153,0)	(29.54845593,0)	(0,-35.78587593)	(37.2615364,0)
	(28.86393083,0)	(0,-37.95203353)	(40.88274265,0)	(23.87345961,0)	(0,-31.85014188)
	(36.21852025,0)	(167.3670398,0)	(29.65749288,0)	(0,-42.29069061)	(46.00572365,0)
	(36.50364558,0)	(0,-38.23070361)	(21.72457761,0)	(38.31161428,0)	(0,-41.08568939)
	(22.04569833,0)	(35.0000091,0)	(0,-37.00572228)	(18.50770331,0)	(-3942.341615,0)
	(32.89744687,0)	(0,-35.2145444)	(15.49096963,0)	(36.50259055,0)	(0,-39.4796689)
	(18.87362432,0)	(32.37718394,0)	(0,-36.18178672)	(13.57261758,0)	(34.48658761,0)
	(0,-37.78475073)	(16.08166545,0)	(30.7652484,0)	(0,-33.59096537)	(12.91649468,0)
	(-4456.129008,0)	(28.69700388,0)	(0,-32.16687163)	(10.74782422,0)	(30.41664157,0)
	(0,-34.8113851)	(11.52143485,0)	(26.75616576,0)	(0,-30.89589143)	(8.983353189,0)
	(-4675.550216,0)	(28.8431564,0)	(0,-33.86818276)	(10.01174067,0)	(26.25601669,0)
	(0,-31.38688656)	(8.232875527,0)	(24.25931457,0)	(0,-28.75613763)	(7.241866888,0)
	(18.65292956,0)	(0,-23.41791202)	(4.221317324,0)	(20.81983191,0)	(0,-26.24172997)
	(5.0899015,0)	(23.93376461,0)	(0,-29.36965598)	(6.733881786,0)	(21.88465921,0)
	(0,-26.7186931)	(5.793203247,0)	(-4900.68078,0)	(15.52657565,0)	(0,-20.16753415)
	(2.937317056,0)	(-5265.812821,0)	(14.48119365,0)	(0,-19.57757752)	(2.481884928,0)
	(12.30858805,0)	(0,-16.69844801)	(1.857590808,0)	(17.76258208,0)	(0,-23.05147349)
	(3.719548625,0)	(8.645541909,0)	(0,-12.86184254)	(0.8939903177,0)	(4.725672437,0)
	(0,-7.467558699)	(0.2775657182,0)	(-5546.680808,0)	(4.068198075,0)	(0,-6.62695705)
	(0.2036230241,0)	(11.51383988,0)	(0,-16.24422714)	(1.579574199,0)	(6.417473929,0)
	(0,-10.0152978)	(0.495839734,0)	(9.347621916,0)	(0,-13.31648812)	(1.077854872,0)
	(-5499.725736,0)	(6.900944329,0)	(0,-10.3418319)	(0.5892434841,0)	(3.472543855,0)
	(0,-5.823782416)	(0.1464110787,0)	(-5336.715362,0)	(5.691836169,0)	(0,-9.147885643)
	(0.3860880047,0)	(1.649069673,0)	(0,-2.894563964)	(0.0337071553,0)	(3.623586939,0)
	(0,-6.172308769)	(0.155682281,0)	(-4.564001963e-33,0)	(0,8.388189169e-33)	(-1.418551138e-32,0)
	(-5406.540464,0)	(-8.929406827e-33,0)	(0,1.678565636e-32)	(-2.823180393e-32,0)	(1.857923308,0)
	(0,-3.303126209)	(0.04223919568,0)	(4687.963145,0)	(0,4688.001999)	(3.699471637e-35,0)
	(801.6582257,0)	(0,809.4542597)	(2.518665312,0)	(850.9014664,0)	(-5.180183275e-31,0)
	(0,-5.299358018e-31)	(-5.34527772e-31,0)	(1376.036329,0)	(-1.2293818e-30,0)	(0,-1.277795387e-30)
	(-1.659923467e-30,0)	(1172.145186,0)	(0,1181.256712)	(4.933641316,0)	(502.3207115,0)
	(0,516.049339)	(1.884827095,0)	(406.8132777,0)	(0,413.3588002)	(0.9358695668,0)
	(889.7079902,0)	(0,905.8637838)	(4.455046423,0)	(1975.856746,0)	(0,1985.159029)
	(12.04569728,0)	(1831.192515,0)	(0,1850.292171)	(15.66530118,0)	(1560.664583,0)
	(0,1596.064908)	(16.9378314,0)	(1525.46632,0)	(0,1534.52129)	(7.686011298,0)
	(672.3544537,0)	(1251.24944,0)	(0,1270.935758)	(8.711064125,0)	(4010.901102,0)
	(0,4011.012738)	(8.968862733e-35,0)	(3393.445464,0)	(0,3398.454356)	(23.89630067,0)
	(3738.032525,0)	(0,3741.667632)	(24.89493316,0)	(2257.25835,0)	(0,2277.121069)
	(22.58414567,0)	(3685.556947,0)	(0,3685.617536)	(-1.09204308e-34,0)	(2.776692254,0)
	(2394.909889,0)	(0,2403.597076)	(16.39511012,0)	(523.6438356,0)	(2956.626675,0)
	(0,2956.737106)	(-9.115187747e-35,0)	(0.2756625874,0)	(3337.097714,0)	(0,3337.208323)
	(9.422098797e-35,0)	(3020.567731,0)	(0,3024.793538)	(17.73713913,0)	(2744.459865,0)
	(0,2757.36774)	(25.8874338,0)	(2686.630616,0)	(0,2688.965157)	(10.69949992,0)
	(1856.275986,0)	(0,1901.650969)	(25.63230922,0)	(0.4841416327,0)	(0,-9.715953618)
	(10.15923471,0)	(0.4389972588,0)	(0,-9.71532043)	(10.05894485,0)	(0.1740856366,0)
	(0,-6.398984471)	(6.487506782,0)	(0.1879920831,0)	(0,-6.385024478)	(6.520155686,0)
	(3347.363537,0)	(1.002663832,0)	(0,-13.22583513)	(14.17218442,0)	(3301.804064,0)
	(0.8804717774,0)	(0,-13.07338653)	(13.83335613,0)	(1.564561996,0)	(0,-16.61200964)
	(17.96206708,0)	(1.817443291,0)	(0,-17.0439964)	(18.66985623,0)	(2.973491325,0)
	(0,-20.98145194)	(23.43302324,0)	(3032.161386,0)	(4.608165729,0)	(0,-24.85772088)
	(28.30886216,0)	(3.861334173,0)	(0,-24.1404884)	(27.06264928,0)	(2.539748143,0)
	(0,-20.39570444)	(22.46422664,0)	(0.1628294893,0)	(0,-6.422155198)	(6.472666498,0)
	(3074.333108,0)	(0.1382110495,0)	(0,-6.103146255)	(6.112457561,0)	(0.3987926508,0)
	(0,-9.634647671)	(9.895682625,0)	(0.3438671175,0)	(0,-9.367627472)	(9.533020077,0)
	(0.6673951486,0)	(0,-12.56583116)	(13.00762369,0)	(0.2955666946,0)	(0,-8.988130746)
	(9.084995974,0)	(0.2522147803,0)	(0,-8.570877543)	(8.608722883,0)	(0.02615193644,0)
	(0,-2.8585241)	(2.803865232,0)	(-9.746445695e-33,0)	(0,9.252448437e-33)	(-8.996717997e-33,0)
	(3060.141383,0)	(0.1166970404,0)	(0,-5.80591562)	(5.782200657,0)	(2885.812937,0)
	(0.02879559921,0)	(0,-2.922021578)	(2.876582506,0)	(-1.925778695e-32,0)	(0,1.846273869e-32)
	(-1.78860834e-32,0)	(0.1162656397,0)	(0,-5.89899063)	(5.859227799,0)	(11.088833,0)
	(0,-31.71439538)	(37.79055343,0)	(7.337367909,0)	(0,-28.2201802)	(33.07586832,0)
	(10.29219294,0)	(0,-32.19909809)	(38.01479187,0)	(8.085413086,0)	(0,-27.57855844)
	(32.8305282,0)	(2693.157767,0)	(5.661039326,0)	(0,-27.99765148)	(31.88722087,0)
	(7.308715511,0)	(0,-31.35807395)	(35.93890484,0)	(9.346036523,0)	(0,-32.68321701)
	(38.1265764,0)	(6.799210072,0)	(0,-28.93289072)	(33.44322956,0)	(2635.478952,0)
	(8.580738765,0)	(0,-32.75553682)	(37.86819128,0)	(13.31537483,0)	(0,-36.21882739)
	(42.64504769,0)	(16.72436969,0)	(0,-40.18744812)	(46.9755426,0)	(17.42080706,0)
	(0,-38.25170295)	(45.05625292,0)	(19.69574744,0)	(0,-42.50129496)	(49.32956816,0)
	(14.40626142,0)	(0,-35.90397952)	(42.51075143,0)	(1912.831846,0)	(26.12173459,0)
	(0,-41.24444115)	(46.55377685,0)	(568.5862795,0)	(20.78826576,0)	(0,-40.7712635)
	(47.44134777,0)	(1234.401071,0)	(29.68434941,0)	(0,-45.06559776)	(49.4043512,0)
	(28.31451067,0)	(0,-46.44415087)	(51.64522755,0)	(23.26780818,0)	(0,-40.89111718)
	(47.09540255,0)	(25.70289561,0)	(0,-46.11204405)	(52.15681423,0)	(22.47402091,0)
	(0,-44.09155073)	(50.68253664,0)	(27.14181397,0)	(0,-49.2641982)	(55.18714297,0)
	(24.05907234,0)	(0,-47.29523883)	(53.79840736,0)	(1028.792248,0)	(25.60103386,0)
	(0,-50.53201663)	(56.92743974,0)	(21.3647638,0)	(0,-45.7252183)	(52.51847993,0)
	(34.43207725,0)	(0,-39.94039787)	(38.03419637,0)	(-1412.025653,0)	(36.6567302,0)
	(0,-40.66185927)	(35.45962882,0)	(38.03676535,0)	(0,-44.82876321)	(41.29120854,0)
	(33.85444498,0)	(0,-41.73123851)	(41.72037222,0)	(39.65949556,0)	(0,-42.3904187)
	(25.3694485,0)	(37.84604756,0)	(0,-39.6756321)	(25.42669813,0)	(-3315.039989,0)
	(41.06122194,0)	(0,-44.22256485)	(29.45774621,0)	(38.32705123,0)	(0,-40.54659588)
	(29.07740721,0)	(41.41460695,0)	(0,-45.15976195)	(33.03759112,0)	(38.49777392,0)
	(0,-41.6809275)	(33.03642685,0)	(-2420.440131,0)	(42.42469388,0)	(0,-47.66752255)
	(37.73059102,0)	(40.05327585,0)	(0,-45.54224576)	(38.87232136,0)	(33.10922628,0)
	(0,-46.22792918)	(48.70440968,0)	(33.26220726,0)	(0,-43.66386296)	(45.12191609,0)
	(-536.1366994,0)	(37.51948282,0)	(0,-46.4657891)	(44.77535131,0)	(37.23088182,0)
	(0,-48.99527888)	(48.90235558,0)	(33.02510309,0)	(0,-48.81488496)	(52.0413709,0)
	(20.93743637,0)	(31.60329556,0)	(0,-50.03686083)	(54.31248479,0)	(36.03907942,0)
	(0,-52.91110746)	(55.14346376,0)	(37.04572406,0)	(0,-51.35715286)	(52.34990563,0)
	(34.64284662,0)	(0,-54.01929838)	(57.39555415,0)	(42.78945072,0)	(0,-46.7393206)
	(29.23022946,0)	(42.70778276,0)	(0,-47.36391844)	(25.45493732,0)	(44.25561959,0)
	(0,-49.05344082)	(28.94344522,0)	(39.68752044,0)	(0,-43.39905488)	(22.20807495,0)
	(41.3529533,0)	(0,-45.06113683)	(25.48211324,0)	(-3288.895485,0)	(35.91181574,0)
	(0,-40.2178219)	(16.56412417,0)	(37.92658062,0)	(0,-41.88789539)	(19.27451495,0)
	(-3753.475354,0)	(41.06819304,0)	(0,-45.80541166)	(22.42668932,0)	(39.31307114,0)
	(0,-44.37222602)	(19.60260232,0)	(33.90445459,0)	(0,-38.68334194)	(14.2126488,0)
	(-4082.602523,0)	(35.22883502,0)	(0,-41.02621448)	(14.69548149,0)	(37.38280437,0)
	(0,-42.78440928)	(17.08628188,0)	(32.30658947,0)	(0,-37.65316848)	(12.47028228,0)
	(30.78950145,0)	(0,-36.72350889)	(10.98737034,0)	(-4219.955812,0)	(33.69885697,0)
	(0,-40.03531224)	(13.04707933,0)	(30.72498102,0)	(0,-37.52184895)	(10.55173115,0)
	(28.3169134,0)	(0,-34.30714659)	(9.230976384,0)	(16.63511547,0)	(0,-22.40958181)
	(3.176385018,0)	(25.87131719,0)	(0,-31.93758696)	(7.660422432,0)	(-4487.033337,0)
	(19.04255201,0)	(0,-25.4665047)	(4.057452878,0)	(22.20120017,0)	(0,-28.86617635)
	(5.480794258,0)	(19.87825425,0)	(0,-25.83438096)	(4.520873758,0)	(-4782.554505,0)
	(22.83558332,0)	(0,-28.85893777)	(5.964454629,0)	(25.0924418,0)	(0,-31.84454962)
	(6.998778735,0)	(28.3544739,0)	(0,-35.18964962)	(8.941150387,0)	(13.58903816,0)
	(0,-19.06639897)	(2.129880388,0)	(-5024.182852,0)	(12.89901035,0)	(0,-18.72930549)
	(1.87385402,0)	(10.67972924,0)	(0,-15.71422712)	(1.321532147,0)	(15.97396321,0)
	(0,-22.14369822)	(2.86643892,0)	(15.17189981,0)	(0,-21.73863331)	(2.529658431,0)
	(7.89760466,0)	(0,-12.59651194)	(0.7091158957,0)	(5.763062409,0)	(0,-9.426532404)
	(0.3883560722,0)	(10.19456116,0)	(0,-15.49296279)	(1.176640572,0)	(8.059109712,0)
