67798	
	(2.654147211,1.588770473)	(-0.335593075,0.5513231932)	(4.242069596,2.558679692)	(2.947029548,1.763826525)	(-0.3129405078,0.5140871481)
	(4.010956444,2.416803191)	(2.195175711,1.314383585)	(-0.2844844477,0.4673536012)	(3.721638581,2.244222865)	(-795.8580831,-507.4905694)
	(1.245458089,0.7461100195)	(-0.2746236816,0.4511841661)	(3.293731932,1.991446453)	(2.139242338,1.280828002)	(-0.3430533972,0.5636029401)
	(4.193458127,2.532668368)	(1.977307235,1.184017114)	(-0.3088416803,0.5073872064)	(3.88387897,2.344673034)	(1.531428927,0.9173229269)
	(-0.2578455437,0.4236023735)	(3.331588159,2.011076251)	(1.449058717,0.8679381621)	(-0.3100237482,0.5093511081)	(3.64423281,2.203999551)
	(-864.3081963,-549.1193092)	(1.040596562,0.6235111826)	(-0.237155431,0.3896210285)	(2.913703344,1.761138006)	(-976.0300419,-615.7930453)
	(2.269179,1.358500972)	(-0.3784996356,0.6218514013)	(4.491569327,2.714215947)	(4.663065486,2.787306658)	(-0.3396487487,0.5578956831)
	(3.473932776,2.089568403)	(5.108971565,3.051863646)	(-0.3505428179,0.5757571759)	(3.052378452,1.835214521)	(3.743092824,2.239060619)
	(-0.3029160048,0.4975853295)	(3.642504492,2.191916264)	(4.582900099,2.736170867)	(-0.2954109037,0.4851728244)	(2.074823357,1.246585354)
	(-182.7689564,-139.7617489)	(5.317669024,3.174480203)	(-0.3545429726,0.5822927926)	(2.598411805,1.561699197)	(3.707048078,2.217006126)
	(-0.2609183027,0.4285772143)	(2.917482291,1.754180069)	(-396.7679897,-267.6605553)	(4.219412625,2.521290399)	(-0.2745646447,0.4509633825)
	(2.409523321,1.448078354)	(3.398160203,2.020934888)	(-0.2356156978,0.3868286835)	(0.5047247639,0.3026638352)	(3.811835753,2.266277612)
	(-0.2664421875,0.4374165205)	(0.5792728112,0.3473783178)	(3.166162485,1.881176285)	(-0.2256889869,0.3704894559)	(0.3734018374,0.2238062904)
	(2.831342064,1.682586816)	(-0.2010058388,0.3299842386)	(0.3202080448,0.1919172272)	(-24.90317663,-46.15474284)	(4.40514366,2.620718673)
	(-0.3027300742,0.4970227636)	(0.8374036616,0.5024088218)	(4.819924525,2.869085595)	(-0.3269859281,0.5368778739)	(1.085846851,0.6516975963)
	(4.562931006,2.717101559)	(-0.3060923264,0.5025947648)	(1.0650279,0.6392322587)	(4.027180062,2.396764773)	(-0.2735337969,0.4491117603)
	(0.7749577192,0.4649506998)	(-56.89152342,-65.1279698)	(5.338938095,3.179496391)	(-0.3599465945,0.5910246864)	(1.418800107,0.8518296045)
	(5.803616856,3.457765971)	(-0.3906694228,0.6415033249)	(1.800774338,1.081534056)	(5.112668537,3.045966388)	(-0.3409024239,0.559779265)
	(1.434922211,0.8615753351)	(-119.8683799,-102.7759057)	(5.327710538,3.175616356)	(-0.3532787409,0.5801308297)	(1.716674709,1.031028409)
	(5.772095776,3.447143879)	(-0.4073034312,0.6689861524)	(3.485778804,2.096361268)	(5.979836824,3.569256821)	(-0.4097466601,0.6729615689)
	(3.062840838,1.841352985)	(-262.1912413,-187.8557707)	(6.553906252,3.911714864)	(-0.4621924695,0.7591106778)	(3.572669754,2.148538249)
	(6.246280596,3.724906562)	(-0.4223156601,0.6935411385)	(2.537920103,1.525155231)	(6.446429531,3.845822358)	(-0.4422605966,0.7263319178)
	(3.0037421,1.805675928)	(6.006924564,3.580411842)	(-0.4039448481,0.6633343085)	(2.102565106,1.263113852)	(5.781089467,3.449159126)
	(-0.3872059839,0.6359088363)	(2.533011055,1.522248107)	(5.549737865,3.309520479)	(-0.3679276796,0.6042160835)	(2.068330155,1.242574201)
	(-162.0528893,-127.9018499)	(109.4886331,234.6507232)	(-234.6266936,109.4774737)	(-1.081863623e-36,-3.083367313e-36)	(76.74490206,165.6053454)
	(-165.4610436,76.69232727)	(-1.490448238e-36,-4.184552272e-36)	(0.1569061829,0.4252153685)	(85.11055096,183.227062)	(-183.4755312,85.20201614)
	(0.200665014,0.5939387332)	(39.92748311,86.94545398)	(-87.2371255,40.03285801)	(0.03460937765,0.1124112991)	(-9.991615373e-33,-2.198609016e-32)
	(2.220142046e-32,-1.00665874e-32)	(-4.603349451e-33,-1.374817696e-32)	(-31.34773728,-93.56284605)	(30.32671466,65.80334408)	(-67.07725883,30.77493997)
	(0.100994101,0.3129192318)	(-2.937457864e-32,-6.407472627e-32)	(6.598095777e-32,-3.003979734e-32)	(-2.322860498e-32,-6.912450438e-32)	(49.11283926,106.3555732)
	(-107.382822,49.47832477)	(0.1377349767,0.3964130688)	(163.4087985,348.1044159)	(-348.1102973,163.4071186)	(-1.67446624e-37,5.147865056e-37)
	(116.8746388,249.9775583)	(-250.3887299,117.0256466)	(0.401479274,1.174946263)	(146.2745992,311.6241616)	(-312.2180971,146.4939801)
	(0.7299111484,2.105678455)	(138.3308996,295.1078074)	(-295.1130313,138.3282476)	(2.932395045e-37,3.733517777e-37)	(0.03574956262,0.04411638813)
	(200.84199,430.7063824)	(-430.7218045,200.8429769)	(-1.825301765e-36,-4.09766965e-36)	(184.1478709,392.8759336)	(-392.8773405,184.1433615)
	(8.110924072e-37,1.154290485e-36)	(0.04557164372,0.1105597844)	(188.5235795,402.3199297)	(-403.2261239,188.8626876)	(1.554891684,4.459331699)
	(169.9642069,361.8778996)	(-362.583637,170.228214)	(1.065896827,3.065285073)	(2.188844433,1.310328124)	(-0.4569267991,0.7507567945)
	(4.942805366,2.993822414)	(1.387340523,0.8309523843)	(-0.3707650826,0.6091817045)	(3.939766555,2.388492206)	(1.827843594,1.094476303)
	(-0.4058275467,0.6667868456)	(4.443250236,2.69103891)	(1.523758209,0.9125837194)	(-0.364088848,0.5982020334)	(4.009974404,2.428711906)
	(0.7389673589,0.4428795867)	(-0.261626184,0.4298496052)	(2.774141595,1.682343016)	(-904.5085847,-573.5223148)	(0.9246204722,0.5540342743)
	(-0.2959543579,0.4862549826)	(3.143324672,1.906037881)	(0.5677257992,0.3403289447)	(-0.2507159506,0.4119301055)	(2.499904512,1.518434665)
	(0.7222751518,0.4328841253)	(-0.2838845915,0.4664306204)	(2.851932586,1.731903876)	(0.4314702156,0.2587048917)	(-0.2145104115,0.352439796)
	(2.136241475,1.297551919)	(0.9947165759,0.5959867099)	(-0.3272176208,0.5376315231)	(3.361047491,2.039752656)	(1.114756943,0.6678425127)
	(-0.3292553665,0.5409739456)	(3.493728037,2.118417502)	(-843.4727984,-537.0619328)	(0.1072349333,0.0643639502)	(-0.123866546,0.2035122306)
	(1.06993473,0.6522788834)	(0.2332218267,0.1399050638)	(-0.1705583258,0.2802272796)	(1.580160679,0.9615671198)	(-933.6979674,-591.2358984)
	(0.3386213404,0.2030764385)	(-0.2070229817,0.3401421109)	(1.940071561,1.180332908)	(0.1892957361,0.1135756242)	(-0.1647165857,0.2706314957)
	(1.451057831,0.8842888024)	(0.007678062121,0.00461479804)	(-0.03862381257,0.0634584229)	(0.2854037914,0.1747789606)	(0.03714837268,0.0223121704)
	(-0.08162251729,0.1341057205)	(0.635083235,0.3883791095)	(0.08851945164,0.0531392427)	(-0.1202817214,0.1976236871)	(0.9913127747,0.6052379785)
	(0.03772550224,0.02265767186)	(-0.07928626741,0.130266681)	(0.6342110562,0.3874669002)	(-947.5302127,-599.697632)	(-5.203566848e-33,-3.302436395e-33)
	(1.511722538e-34,-2.483734772e-34)	(-1.007128799e-33,-6.190554807e-34)	(0.008524024446,0.005123012217)	(-0.04211536444,0.06919522196)	(0.3052233291,0.1870747882)
	(0.005078320071,0.003053267635)	(-0.03428929624,0.05633705715)	(0.2409035655,0.1478236826)	(-2.664769776e-33,-1.688745736e-33)	(7.800341638e-35,-1.281581129e-34)
	(-5.362767126e-34,-3.292025834e-34)	(-931.5589989,-590.3231538)	(0.004656696291,0.002799072614)	(-0.03331780437,0.05474093379)	(0.2271134588,0.1395376241)
	(0.005424273252,0.003260319023)	(-0.03691478124,0.06065076228)	(0.2476140765,0.1522522131)	(-5.134235216e-33,-3.267778653e-33)	(1.476839319e-34,-2.426419054e-34)
	(-9.363122603e-34,-5.768854414e-34)	(-2.578979389e-33,-1.639285868e-33)	(7.467430083e-35,-1.226886185e-34)	(-4.858398727e-34,-2.989743178e-34)	(-887.1888965,-563.9152599)
	(1.134841474,0.6723662956)	(-0.08804855916,0.1444940391)	(0.03471301272,0.02075814373)	(-47.24698843,-60.09594934)	(1.68884953,1.000871208)
	(-0.1293134491,0.2122110454)	(0.07595556447,0.04543939543)	(1.763322117,1.045418018)	(-0.1338948568,0.2197451221)	(0.08874448107,0.05310492766)
	(1.084235141,0.6422071027)	(-0.08457228922,0.1387818185)	(0.03015549166,0.01802898685)	(3.484230227,2.069751681)	(-0.2492560874,0.4091594285)
	(0.4244142722,0.2543895669)	(-65.75383347,-70.86190549)	(3.870182494,2.298968466)	(-0.2766236255,0.4540745409)	(0.5062010383,0.3034491514)
	(4.104978673,2.439945273)	(-0.2888155833,0.474126038)	(0.6260260587,0.3754135801)	(2.937897908,1.744054864)	(-0.2142601709,0.3516869265)
	(0.2792685873,0.1673025182)	(2.336082876,1.385300712)	(-0.175402609,0.2878639875)	(0.153372328,0.09181044601)	(2.444815877,1.450407727)
	(-0.1816970303,0.2982153315)	(0.1798662995,0.1076991673)	(-57.620125,-66.17303643)	(2.994362922,1.776626983)	(-0.220954789,0.3626409564)
	(0.2619011673,0.156860117)	(3.323578543,1.973048428)	(-0.2416803383,0.396686696)	(0.3478146228,0.2084002528)	(1.623992475,0.9621685856)
	(-0.1250595734,0.2052193381)	(0.06698253458,0.04006343102)	(1.506072824,0.8919700235)	(-0.1168700798,0.191766617)	(0.05421986686,0.03242088599)
	(1.037683499,0.614478089)	(-0.08130707472,0.1334165574)	(0.02640027866,0.01578114215)	(-62.62763225,-69.44341929)	(0.9494324756,0.5620674301)
	(-0.07478008444,0.1226997635)	(0.02121690319,0.01268021287)	(1.407803707,0.8335471926)	(-0.1098391062,0.1802201199)	(0.04537089001,0.02712366733)
	(1.013745149,0.5999356921)	(-0.08008737149,0.1313946206)	(0.02219351389,0.01326140181)	(0.5728593982,0.3388755358)	(-0.04582783313,0.07518317667)
	(0.006888889014,0.004114447003)	(0.4218266231,0.2495488593)	(-0.03382402946,0.05549288236)	(0.003806897769,0.002273173972)	(-1.645459685e-33,-9.728227216e-34)
	(1.338582716e-34,-2.19587175e-34)	(5.078986445e-34,5.050855349e-34)	(0.8662280837,0.512680744)	(-0.06853951962,0.1124540905)	(0.01682284358,0.01005194097)
	(-74.5344962,-76.69475415)	(-8.128182984e-34,-4.806495206e-34)	(6.598599044e-35,-1.082533091e-34)	(2.23634117e-34,2.308896834e-34)	(-73.91791078,-76.4211245)
	(2.543878346,1.522694825)	(-0.4228726251,0.69476691)	(4.892736059,2.95769989)	(2.040571693,1.221733802)	(-0.4017862499,0.6601341266)
	(4.541908127,2.748247196)	(-785.6318427,-502.2462162)	(2.857503356,1.710109418)	(-0.4695829682,0.77152539)	(5.311894996,3.212059836)
	(2.421313953,1.449351804)	(-0.4541058652,0.7461082786)	(5.043625965,3.052315595)	(3.44234719,2.059596048)	(-0.4934337798,0.810698447)
	(5.623190457,3.397731417)	(4.691090288,2.804697928)	(-0.3751059504,0.6161642299)	(4.104173622,2.470204713)	(3.371883906,2.017693784)
	(-0.3628858017,0.5961459202)	(4.486909537,2.704590736)	(4.53375239,2.711267971)	(-0.4124313597,0.6775132543)	(4.733080164,2.851075446)
	(3.777041878,2.259553412)	(-0.3463217807,0.568908895)	(4.206660882,2.533377004)	(-595.3576349,-387.1912449)	(4.016616538,2.402665694)
