63409	
	(-0.0009621921332,0.0007834752226)	(-0.002280001346,0.001916137406)	(-0.001211121549,0.0009753872609)	(-0.002699751389,0.002259701071)	(0.007437427334,-0.00453619537)
	(-0.00149524833,0.00120025196)	(-0.003230666477,0.00272060935)	(-0.00130547801,0.001062167498)	(-0.00300502364,0.002553302132)	(-0.001190407844,0.0009916264793)
	(-0.003048256323,0.002651032861)	(-0.00195872762,0.001169683957)	(-0.002208030109,0.001377651249)	(-0.002416591825,0.001419098922)	(-0.002609915617,0.001619040111)
	(-0.001932271986,0.001115666697)	(-0.002073367894,0.001249736695)	(0.01398397474,-0.007008900126)	(-0.002428257697,0.001379943992)	(-0.00250603182,0.001504170417)
	(-0.001889755258,0.001267475704)	(-0.002578418534,0.001808739124)	(-0.002443788281,0.001530246909)	(-0.002901217509,0.001922790928)	(-0.001956440071,0.001242190689)
	(-0.002423032943,0.001609204038)	(-0.002422995827,0.001470013646)	(-0.002744370869,0.001759933343)	(-0.002006711431,0.001237976289)	(-0.002371404409,0.00153101583)
	(0.01298531601,-0.006747635069)	(-0.001927877187,0.001258739896)	(-0.002506503049,0.001711983045)	(0.01200954799,-0.00645046126)	(-0.002322837622,0.001537329382)
	(-0.003036140634,0.002124513073)	(-0.002377896246,0.001530889933)	(-0.002959233723,0.002015147948)	(-0.002157771311,0.001531816809)	(-0.003245762711,0.002435525859)
	(-0.002307211342,0.001602093306)	(-0.003295249484,0.002425215626)	(-0.00162832596,0.001172372599)	(-0.002592565672,0.001945940883)	(0.01010857155,-0.005761827936)
	(-0.001946646946,0.001412998663)	(-0.003103886643,0.002371099096)	(-0.001735393889,0.001221927754)	(-0.002622792508,0.001928257848)	(-0.001870903174,0.001287307023)
	(-0.002682593256,0.001932388662)	(0.01105261846,-0.006118539231)	(-0.002268294542,0.001540405992)	(-0.003112108893,0.002234116248)	(-0.003509351993,0.00186134687)
	(-0.003176317509,0.001829737972)	(-0.00295905619,0.0016073755)	(-0.002819384348,0.001639090161)	(-0.002994962086,0.001577378352)	(-0.002742455042,0.001548022033)
	(0.01558427323,-0.007290560742)	(-0.003292440963,0.001685880492)	(-0.002881922606,0.001593592909)	(-0.003452243044,0.001886908525)	(-0.003249660872,0.001925637325)
	(-0.002888148021,0.001670428019)	(-0.002997434105,0.001852728326)	(-0.003367245562,0.001910293418)	(-0.003337478962,0.002048758434)	(-0.002941168597,0.001646283493)
	(-0.002915840372,0.001746227374)	(0.01473032089,-0.007135438061)	(0.0030705057,-0.001961272512)	(-0.02412653452,0.0283155065)	(0.009583244754,-0.002196475348)
	(0.002855154448,-0.001266865025)	(-0.02826737955,0.03826935928)	(0.003777696721,-0.002506287569)	(-0.01872730502,0.01872864709)	(0.004430997007,-0.002590188432)
	(-0.01995951519,0.01985107093)	(0.003892836714,-0.002157456377)	(-0.02453599826,0.02873508082)	(0.0005281480523,0.001500342963)	(-0.02824436924,0.06462488321)
	(-1.966277374e-33,-3.405746609e-33)	(-0.02544502701,0.07084197232)	(-1.303856236e-33,-3.776027919e-33)	(-0.0298504641,0.06195967333)	(-5.164393028e-06,1.280168552e-06)
	(0.001023557283,0.0003894792461)	(-0.03075669135,0.05539960419)	(0.002217038118,0.0005996359602)	(-0.02896797576,0.04775290533)	(0.002282608412,-0.0001672908346)
	(-0.02992845086,0.0469839874)	(0.008973473941,-0.001556315354)	(0.001271393852,0.001740949085)	(-0.02909118236,0.05729315853)	(0.003310688556,-0.001104846249)
	(-0.02767412097,0.03781666822)	(-2.337210072e-35,2.069434821e-35)	(5.555626856e-34,-1.148893506e-34)	(6.321845668e-18,-8.090295119e-19)	(2.066621662e-18,-2.676832272e-19)
	(-4.328732579e-35,1.783201321e-35)	(2.495388757e-34,-6.949319162e-35)	(0.02381998171,-0.006821173234)	(-3.874708877e-35,1.553054258e-35)	(1.7749636e-34,-5.466742914e-35)
	(0.02269690941,-0.007172948708)	(-0.0009530646284,0.0002152782042)	(-0.0004292785566,0.0001012127129)	(-0.001135924947,0.0002029370736)	(-0.0004352250436,8.347739269e-05)
	(-0.001225450221,0.0001906928015)	(-0.0004222637265,7.226931421e-05)	(-1.351079879e-18,2.452377348e-19)	(-5.349764617e-19,9.80438215e-20)	(-0.001124545184,0.000230059)
	(-0.0004604759422,0.000100224553)	(-0.001368294154,0.0001450330869)	(-0.0003841665538,4.850791839e-05)	(6.191223959e-18,-4.544533316e-19)	(1.603825941e-18,-1.209287296e-19)
	(-0.00122507249,0.0001582656452)	(-0.0003889035383,5.647438299e-05)	(-3.071655965e-35,1.445290745e-35)	(2.624564479e-34,-6.541986083e-35)	(0.02488753361,-0.006384618888)
	(-0.0013529044,0.0001066699668)	(-0.0003430752174,3.477997957e-05)	(-1.699518626e-35,1.153628758e-35)	(2.734501873e-34,-6.034042806e-35)	(0.02583214256,-0.005862749539)
	(-0.001761923115,0.0001111435149)	(-0.0004027005982,3.831637573e-05)	(-0.00100832118,3.75848616e-05)	(-0.0002050963455,1.184360898e-05)	(-0.001981756366,0.0004404585668)
	(-0.0008461469904,0.0002065644153)	(-0.002834759396,0.0006975258782)	(-0.001272719542,0.0003533621464)	(-0.001837735732,0.0004465814612)	(-0.0008461772681,0.0002221991923)
	(0.02223214685,-0.007217813694)	(-0.002313416924,0.0006106135587)	(-0.001110567546,0.0003203165606)	(-0.003256269311,0.0008679282744)	(-0.001529757725,0.000463007931)
	(-0.002791711035,0.0007949581262)	(-0.001403809923,0.0004419377508)	(0.02148858741,-0.007336889087)	(-0.002618798267,0.0008585214519)	(-0.001492131656,0.000529908771)
	(0.02044558563,-0.007488215754)	(-0.00337106122,0.001169964091)	(-0.001973773672,0.0007569884857)	(-0.003642638225,0.001114540333)	(-0.001891150616,0.0006545520667)
	(-0.003815729537,0.001102463047)	(-0.001876586483,0.0006224571662)	(-0.002672920086,0.0008179904791)	(-0.001434421539,0.0004795386287)	(-0.003539308323,0.001157768972)
	(-0.001953105929,0.0007141235251)	(-0.003625667612,0.001804908429)	(-0.0030307862,0.001644842294)	(0.01649934943,-0.007395765288)	(-0.003795353121,0.001810845335)
	(-0.00300561789,0.001572560654)	(-0.004229941239,0.002101691697)	(-0.003442103348,0.00189649162)	(-0.003813573274,0.001968357751)	(-0.003299139242,0.001864512785)
	(-0.004222486076,0.001462012108)	(-0.002392761367,0.0009422372904)	(-0.003930844993,0.001697782284)	(-0.002785241336,0.001330267697)	(-0.004013978515,0.001834198187)
	(-0.003006910914,0.00151827225)	(0.01762695897,-0.007483567918)	(-0.004433589592,0.002113730642)	(-0.003417736208,0.001819689672)	(-0.00459738573,0.002072249618)
	(-0.003315514651,0.001681195765)	(-0.004569523727,0.001947975708)	(-0.003116434691,0.001498600751)	(-0.00406470763,0.001488445727)	(-0.002440423821,0.00100478765)
	(0.01986660887,-0.007483554253)	(-0.00388064162,0.001580156193)	(-0.002597092365,0.001171731046)	(0.01882602569,-0.007527745876)	(-0.003951556523,0.001526947855)
	(-0.002505045791,0.001079329966)	(-0.004817141856,0.001852116191)	(-0.002940991825,0.00129704278)	(-0.004870395171,0.001768247852)	(-0.002811980206,0.001180822521)
	(-0.004699015595,0.001900847294)	(-0.003026427939,0.00139218477)	(0.003535373484,-0.001869906488)	(-0.009525451832,0.006359630753)	(0.004261120499,-0.002448611747)
	(-0.01439906969,0.01173210765)	(0.002400923013,-0.001328511352)	(-0.006276905894,0.004012355677)	(0.002030673858,-0.0008775647436)	(-0.00419327192,0.002050458094)
	(0.001954960106,-0.0007918849753)	(-0.003800425308,0.001714270086)	(-3.443860115e-18,1.428887815e-18)	(6.404281292e-18,-2.607014291e-18)	(4.904023608e-18,-1.557492907e-18)
	(-7.856999269e-18,2.589406996e-18)	(0.003795124005,-0.002338699454)	(-0.01323415116,0.01089148316)	(0.01726179388,-0.003143193409)	(1.85448809e-34,-1.048916955e-35)
	(1.675053664e-34,-2.690553758e-35)	(0.02340649437,-0.002195757847)	(1.773725917e-34,-1.785850237e-35)	(1.58912072e-34,-4.003070888e-35)	(0.02198870395,-0.003259649649)
	(0.001810335281,-0.0006968727569)	(-0.003319914619,0.001386669063)	(-2.468737758e-19,6.282847718e-20)	(3.361625103e-19,-9.130436674e-20)	(1.913124149e-34,-2.304811679e-36)
	(1.768706026e-34,-1.569212912e-35)	(0.02456254946,-0.001057734183)	(0.004397114633,-0.002478600979)	(-0.01992055164,0.01981831807)	(0.003871066468,-0.002055657918)
	(-0.0108232585,0.007361575131)	(0.004336839583,-0.002461625043)	(-0.01501168223,0.0123087087)	(0.01999608566,-0.001870682484)	(0.004075511984,-0.002478953173)
	(-0.01709008847,0.01549968488)	(0.003883204486,-0.002314756928)	(-0.01261641304,0.009427193151)	(-0.0002457960322,0.0002158714667)	(-0.000965328988,0.0008578057989)
	(-0.0002144757873,0.0001871748951)	(-0.0008030319167,0.0007077121011)	(4.855935392e-16,-4.255545808e-16)	(1.909426314e-15,-1.675022733e-15)	(0.004389124692,-0.002854595308)
	(2.346047916e-16,-2.068484296e-16)	(9.660308382e-16,-8.528447014e-16)	(-0.0002360474663,0.0002086430364)	(-0.000972848773,0.0008700877171)	(-1.64711164e-35,1.002666856e-35)
	(1.93650462e-35,-1.617565095e-35)	(0.003877570154,-0.002547847422)	(-2.496098935e-17,2.227154847e-17)	(-1.22291278e-16,1.092817482e-16)	(-0.0001943091663,0.0001727983362)
	(-0.0008786502618,0.0007897819622)	(-0.0004416869394,0.0003839550051)	(-0.001559669714,0.001382776557)	(0.004824448908,-0.003097587985)	(-0.0005515693353,0.0004721478459)
