63409	
	(0.002814231935,-0.001917656323)	(0.003972900686,-0.00258845278)	(0.00321236269,-0.002291084768)	(0.003573604415,-0.002406428195)	(0.00307402765,-0.002242424318)
	(0.004034847167,-0.001951543247)	(0.002274151437,-0.001219096584)	(0.003719564195,-0.002151563871)	(0.002621684224,-0.00165085242)	(0.003787302184,-0.002296894808)
	(0.002821719159,-0.0018640409)	(-0.01672376336,0.009489887621)	(0.004173573491,-0.002624361558)	(0.003196749236,-0.002211995661)	(0.004340490021,-0.002602356526)
	(0.00311016686,-0.002062442264)	(0.004326411299,-0.002475628768)	(0.002932301844,-0.001857418954)	(0.003875376382,-0.001959307939)	(0.002314431982,-0.001286693639)
	(-0.01895379451,0.009751926933)	(0.003682318576,-0.00202866267)	(0.002451968688,-0.001471214477)	(-0.01791179357,0.009673500241)	(0.003758723894,-0.001984216136)
	(0.002370508294,-0.00136851918)	(0.004583162508,-0.002409747237)	(0.002779714327,-0.001636290632)	(0.004645167094,-0.002332629691)	(0.002664413953,-0.001505674357)
	(0.004460337122,-0.002444216496)	(0.00285438163,-0.001741018468)	(-0.003292374602,0.002255451575)	(0.008739987484,-0.007440698869)	(-0.003906837832,0.002892669805)
	(0.01296631573,-0.01333609765)	(-0.002211055463,0.001582212248)	(0.005718899054,-0.004696484792)	(-0.001921490468,0.001135126353)	(0.003957723687,-0.002582856351)
	(-0.001861390885,0.001044788582)	(0.003596588759,-0.002175163353)	(-3.623852721e-34,7.369713408e-35)	(-3.115799708e-34,1.018643387e-34)	(-3.8054847e-34,6.189290744e-35)
	(-3.330989228e-34,7.895300976e-35)	(-0.003499616671,0.002773593957)	(0.01193417143,-0.0123768035)	(-0.0169616042,0.005329541724)	(-1.847550662e-34,3.324886511e-35)
	(-1.655793647e-34,4.875192135e-35)	(-0.02315913575,0.005075224314)	(-1.701597012e-34,3.555362049e-35)	(-1.542138674e-34,5.963527657e-35)	(-0.02130792839,0.005607989069)
	(-0.001705354126,0.0008853982191)	(0.003108951256,-0.001789888055)	(-3.847280113e-34,4.371617536e-35)	(-3.473254921e-34,5.536915791e-35)	(-1.913357623e-34,2.534388185e-35)
	(-1.777200298e-34,3.771907788e-35)	(-0.02445595025,0.003984752839)	(-0.004100196933,0.00297645983)	(0.01754139923,-0.02204387404)	(-0.003646412223,0.002511978074)
	(0.009939029325,-0.008601961031)	(-0.004007892764,0.002934656229)	(0.01351632489,-0.01401981592)	(-0.01971740048,0.004196765861)	(-0.003753419667,0.002926201945)
	(0.01523143594,-0.01745540668)	(-0.003626369064,0.002771988235)	(0.01148214634,-0.01087571673)	(0.0002207424799,-0.0002431710191)	(0.0008659082496,-0.0009649654131)
	(0.0001927579842,-0.0002110309922)	(0.0007209299998,-0.0007968854858)	(1.747269252e-35,-1.35441805e-35)	(-1.755938419e-35,1.784254825e-35)	(-0.004056686071,0.003342831189)
	(3.216012469e-35,-2.509171992e-35)	(-3.356103396e-35,3.444055611e-35)	(0.0002119554958,-0.0002349708183)	(0.0008722685224,-0.0009782728756)	(1.502736732e-35,-1.164460454e-35)
	(-1.719311052e-35,1.801479892e-35)	(-0.003582153314,0.002980123866)	(2.882002018e-35,-2.248739198e-35)	(-3.118895378e-35,3.306819047e-35)	(0.0001743299119,-0.0001944187365)
	(0.0007873807034,-0.0008874257952)	(0.0003969041058,-0.0004329150465)	(0.001399551122,-0.001556341034)	(-0.004462338604,0.003633949285)	(0.0004967929294,-0.0005337747707)
	(0.001549900542,-0.001701579699)	(-0.005051901323,0.004087259925)	(0.0006992419104,-0.000746256509)	(0.002051680648,-0.002255522132)	(0.0006691575503,-0.0007232619703)
